beke,daen,miim,toap
Neutral,Other,Other,Neutral
Neutral,Neutral,Neutral,Positive
Neutral,Positive,Positive,Positive
,,,Positive
Neutral,Neutral,Neutral,Neutral
,Positive,,
Neutral,Positive,Negative,Positive
Neutral,Neutral,Neutral,Neutral
,,Neutral,
Neutral,Neutral,Neutral,Positive
Neutral,Other,Other,Negative
Neutral,Neutral,Positive,Negative
,,,Negative
,,,Neutral
,,,Negative
Neutral,Neutral,Neutral,Neutral
,Positive,,
Neutral,Neutral,Neutral,Neutral
,Neutral,,
Neutral,Positive,Positive,Positive
Neutral,Neutral,Other,Neutral
,,,Neutral
Negative,Neutral,Other,Negative
Neutral,Neutral,Neutral,Neutral
,Neutral,,
Neutral,,,
Neutral,Neutral,Neutral,Neutral
,,,Neutral
Neutral,Neutral,Neutral,Negative
,,Other,
Neutral,Neutral,Other,Neutral
Negative,,,
Neutral,Neutral,Neutral,Neutral
,,Neutral,
,,,Positive
Positive,Positive,Positive,Positive
,Negative,,
,,Positive,
Neutral,Positive,Other,Positive
Positive,,,
Neutral,Negative,Negative,Negative
Neutral,Neutral,Positive,Neutral
,Positive,,
Other,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Positive
Positive,Positive,Positive,Positive
Neutral,,,
Positive,,,
,,Neutral,
Neutral,Negative,Negative,Negative
Neutral,Neutral,Positive,Negative
Positive,Positive,Positive,Positive
Positive,Positive,Positive,Positive
Neutral,Positive,Positive,Neutral
,,,Neutral
Neutral,,,
Neutral,Positive,Neutral,Positive
Positive,Neutral,Neutral,Positive
Negative,Negative,Negative,Negative
,,,Neutral
Neutral,Other,Other,Positive
Neutral,Neutral,Positive,Positive
Neutral,Neutral,Positive,Neutral
Neutral,Neutral,Positive,Neutral
,,,Neutral
,,Positive,
,Neutral,,
Neutral,Positive,Positive,Positive
Neutral,Positive,Positive,Neutral
Positive,Positive,Positive,Positive
Other,,,
Neutral,Neutral,Positive,Neutral
Positive,Positive,Positive,Positive
Other,,,
Neutral,Neutral,Positive,Positive
Other,Neutral,Neutral,Negative
,,Positive,
Neutral,Neutral,Other,Other
Positive,Other,Positive,Neutral
Neutral,Neutral,Neutral,Neutral
,,Positive,
Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Neutral
Neutral,Neutral,Other,Neutral
Other,,,
Neutral,Neutral,Positive,Positive
Neutral,Neutral,Neutral,Neutral
Positive,Positive,Positive,Positive
Neutral,Neutral,Neutral,Positive
,,Negative,
,Positive,,
Neutral,Neutral,Positive,Neutral
,Neutral,,
Neutral,Positive,Positive,Positive
Neutral,,,
,,Positive,
Neutral,Positive,Neutral,Positive
Neutral,Neutral,Neutral,Neutral
,,,Positive
Positive,Positive,Positive,Positive
Neutral,,,
,,Positive,
Neutral,Neutral,Neutral,Neutral
Positive,Positive,Positive,Positive
,Neutral,,
Neutral,Other,Other,Positive
,,Positive,
Neutral,Neutral,Neutral,Neutral
,Negative,,
,Positive,,
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Positive
,,,Neutral
Positive,Positive,Positive,Neutral
Neutral,Neutral,Neutral,Neutral
Positive,,,
,,,Positive
,,Positive,
Neutral,Neutral,Neutral,Positive
,,Neutral,
Positive,Positive,Positive,Positive
Neutral,Positive,Neutral,Positive
,,Positive,
Positive,Positive,Positive,Positive
,,,Neutral
Neutral,,,
,,Positive,
,,,Positive
,,,Positive
Neutral,Other,Negative,Negative
,Neutral,,
Neutral,Negative,Negative,Negative
,,,Positive
Negative,Negative,Negative,Positive
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Positive,Neutral
,Neutral,,
,,Positive,
,Neutral,,
Positive,Positive,Positive,Positive
Negative,Negative,Negative,Negative
Negative,Negative,Negative,Negative
Positive,Positive,Positive,Positive
Positive,Positive,Positive,Neutral
Positive,Neutral,Positive,Positive
Neutral,Neutral,Neutral,Positive
Neutral,Neutral,Positive,Neutral
,Positive,,
Neutral,,,
Neutral,Neutral,Other,Neutral
Positive,Positive,Positive,Positive
Positive,,,
,Positive,,
Positive,Positive,Positive,Neutral
Neutral,Neutral,Neutral,Other
Positive,Positive,Positive,Positive
Positive,,,
Neutral,Neutral,Positive,Neutral
Positive,Positive,Positive,Positive
Neutral,Neutral,Positive,Neutral
Neutral,Neutral,Negative,Positive
Neutral,Neutral,Neutral,Positive
Positive,Positive,Positive,Positive
Neutral,Neutral,Neutral,Positive
Neutral,Other,Other,Positive
,,Positive,
Neutral,,,
,Neutral,,
,,,Negative
Negative,,,
,,,Neutral
Neutral,Neutral,Neutral,Neutral
Neutral,,,
Neutral,Other,Other,Neutral
,,Neutral,
Negative,Negative,Other,Negative
Neutral,Neutral,Negative,Neutral
Neutral,Positive,Positive,Positive
,,Negative,
,,,Positive
Positive,Positive,Neutral,Positive
,,Positive,
Neutral,Neutral,Negative,Neutral
,Positive,,
Neutral,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral
Neutral,Positive,Positive,Positive
