index,url,tweet_id,player_name,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time,comment
34246,<html><body><a href=https://twitter.com/anyuser/status/1072147742665846790>URL</a></body></html>,1072147742665846790,Virgil van Dijk,250,Positive,1,250,2022-10-31T08:27:05.461556Z,2022-10-31T08:27:05.461578Z,10.513,
7418,<html><body><a href=https://twitter.com/anyuser/status/912674308350242816>URL</a></body></html>,912674308350242816,Virgil van Dijk,249,Neutral,1,249,2022-10-31T08:26:53.613188Z,2022-10-31T08:26:53.613208Z,13.332,
21941,<html><body><a href=https://twitter.com/anyuser/status/984044963817287680>URL</a></body></html>,984044963817287680,Virgil van Dijk,248,Positive,1,248,2022-10-31T08:26:39.490324Z,2022-10-31T08:26:39.490355Z,6.899,
16252,<html><body><a href=https://twitter.com/anyuser/status/955391778001170432>URL</a></body></html>,955391778001170432,Virgil van Dijk,247,Neutral,1,247,2022-10-31T08:26:31.747198Z,2022-10-31T08:26:31.747224Z,14.707,
102928,<html><body><a href=https://twitter.com/anyuser/status/1370003445495824385>URL</a></body></html>,1370003445495824385,Virgil van Dijk,246,Negative,1,246,2022-10-31T08:26:15.846664Z,2022-10-31T08:26:15.846697Z,11.116,
25669,<html><body><a href=https://twitter.com/anyuser/status/1030375830269112320>URL</a></body></html>,1030375830269112320,Virgil van Dijk,245,Positive,1,245,2022-10-31T08:26:03.876067Z,2022-10-31T08:26:03.876089Z,10.109,
16726,<html><body><a href=https://twitter.com/anyuser/status/957379346674659328>URL</a></body></html>,957379346674659328,Virgil van Dijk,244,Positive,1,244,2022-10-31T08:25:52.276629Z,2022-10-31T08:25:52.276654Z,7.501,
43454,<html><body><a href=https://twitter.com/anyuser/status/1105944173239300096>URL</a></body></html>,1105944173239300096,Virgil van Dijk,243,Positive,1,243,2022-10-31T08:25:43.982323Z,2022-10-31T08:25:43.982346Z,6.422,
109760,<html><body><a href=https://twitter.com/anyuser/status/1421887102657208326>URL</a></body></html>,1421887102657208326,Virgil van Dijk,242,Neutral,1,242,2022-10-31T08:25:36.784825Z,2022-10-31T08:25:36.784846Z,20.909,
17613,<html><body><a href=https://twitter.com/anyuser/status/960421689271169024>URL</a></body></html>,960421689271169024,Virgil van Dijk,241,Neutral,1,241,2022-10-31T08:25:14.920833Z,2022-10-31T08:25:14.920861Z,8.053,
39275,<html><body><a href=https://twitter.com/anyuser/status/1087709125910323200>URL</a></body></html>,1087709125910323200,Virgil van Dijk,240,Positive,1,240,2022-10-31T08:25:06.045232Z,2022-10-31T08:25:06.045255Z,15.07,
136442,<html><body><a href=https://twitter.com/anyuser/status/1568066472592777218>URL</a></body></html>,1568066472592777218,Virgil van Dijk,239,Positive,1,239,2022-10-31T08:24:50.080339Z,2022-10-31T08:24:50.080363Z,12.419,
79666,<html><body><a href=https://twitter.com/anyuser/status/1239226400781012992>URL</a></body></html>,1239226400781012992,Virgil van Dijk,238,Positive,1,238,2022-10-31T08:24:36.517494Z,2022-10-31T08:24:36.517530Z,5.71,
21827,<html><body><a href=https://twitter.com/anyuser/status/983509414945738753>URL</a></body></html>,983509414945738753,Virgil van Dijk,237,Neutral,1,237,2022-10-31T08:24:29.839321Z,2022-10-31T08:24:29.839346Z,45.755,
41089,<html><body><a href=https://twitter.com/anyuser/status/1098475190722355200>URL</a></body></html>,1098475190722355200,Virgil van Dijk,236,Positive,1,236,2022-10-31T08:23:43.013946Z,2022-10-31T08:23:43.013976Z,14.672,
55328,<html><body><a href=https://twitter.com/anyuser/status/1137324404592001024>URL</a></body></html>,1137324404592001024,Virgil van Dijk,235,Positive,1,235,2022-10-31T08:23:25.918946Z,2022-10-31T08:23:25.918966Z,6.979,
16929,<html><body><a href=https://twitter.com/anyuser/status/958416484384104448>URL</a></body></html>,958416484384104448,Virgil van Dijk,234,Positive,1,234,2022-10-31T08:23:17.950528Z,2022-10-31T08:23:17.950550Z,9.065,
84838,<html><body><a href=https://twitter.com/anyuser/status/1273361750176522248>URL</a></body></html>,1273361750176522248,Virgil van Dijk,233,Irrelevant,1,233,2022-10-31T08:23:07.838735Z,2022-10-31T08:23:07.838756Z,14.835,
28367,<html><body><a href=https://twitter.com/anyuser/status/1044900730740584448>URL</a></body></html>,1044900730740584448,Virgil van Dijk,232,Positive,1,232,2022-10-31T08:22:50.742415Z,2022-10-31T08:22:50.742440Z,9.73,
135074,<html><body><a href=https://twitter.com/anyuser/status/1562741616217305092>URL</a></body></html>,1562741616217305092,Virgil van Dijk,231,Neutral,1,231,2022-10-31T08:22:40.081640Z,2022-10-31T08:22:40.081661Z,20.843,
18777,<html><body><a href=https://twitter.com/anyuser/status/963194990544506880>URL</a></body></html>,963194990544506880,Virgil van Dijk,230,Positive,1,230,2022-10-31T08:22:18.260899Z,2022-10-31T08:22:18.260922Z,6.566,
38853,<html><body><a href=https://twitter.com/anyuser/status/1085612614397452288>URL</a></body></html>,1085612614397452288,Virgil van Dijk,229,Positive,1,229,2022-10-31T08:22:10.749945Z,2022-10-31T08:22:10.749970Z,7.94,
55603,<html><body><a href=https://twitter.com/anyuser/status/1137814169112252416>URL</a></body></html>,1137814169112252416,Virgil van Dijk,228,Positive,1,228,2022-10-31T08:22:00.658804Z,2022-10-31T08:22:00.658825Z,21.086,
131076,<html><body><a href=https://twitter.com/anyuser/status/1541589883046723585>URL</a></body></html>,1541589883046723585,Virgil van Dijk,227,Positive,1,227,2022-10-31T08:21:38.806095Z,2022-10-31T08:21:38.806126Z,19.097,
14476,<html><body><a href=https://twitter.com/anyuser/status/949964018084667393>URL</a></body></html>,949964018084667393,Virgil van Dijk,226,Positive,1,226,2022-10-31T08:21:18.700271Z,2022-10-31T08:21:18.700294Z,30.284,
29897,<html><body><a href=https://twitter.com/anyuser/status/999936686825066497>URL</a></body></html>,999936686825066497,Sadio Mané,225,Positive,1,225,2022-10-31T08:20:47.134230Z,2022-10-31T08:20:47.134252Z,5.964,
159394,<html><body><a href=https://twitter.com/anyuser/status/1411139693991825413>URL</a></body></html>,1411139693991825413,Sadio Mané,224,Neutral,1,224,2022-10-31T08:20:40.304685Z,2022-10-31T08:20:40.304706Z,19.677,
13136,<html><body><a href=https://twitter.com/anyuser/status/934071299776892928>URL</a></body></html>,934071299776892928,Sadio Mané,223,Positive,1,223,2022-10-31T08:20:19.544579Z,2022-10-31T08:20:19.544601Z,8.838,
98853,<html><body><a href=https://twitter.com/anyuser/status/1213813507386462210>URL</a></body></html>,1213813507386462210,Sadio Mané,222,Positive,1,222,2022-10-31T08:20:08.254268Z,2022-10-31T08:20:08.254301Z,8.229,
110425,<html><body><a href=https://twitter.com/anyuser/status/1244657061142466563>URL</a></body></html>,1244657061142466563,Sadio Mané,221,Positive,1,221,2022-10-31T08:19:59.024073Z,2022-10-31T08:19:59.024097Z,20.994,
133327,<html><body><a href=https://twitter.com/anyuser/status/1315910317768146944>URL</a></body></html>,1315910317768146944,Sadio Mané,220,Neutral,1,220,2022-10-31T08:19:37.138501Z,2022-10-31T08:19:37.138526Z,11.127,
21700,<html><body><a href=https://twitter.com/anyuser/status/965113395228938240>URL</a></body></html>,965113395228938240,Sadio Mané,219,Positive,1,219,2022-10-31T08:19:25.144430Z,2022-10-31T08:19:25.144451Z,21.335,
154623,<html><body><a href=https://twitter.com/anyuser/status/1391152178316947457>URL</a></body></html>,1391152178316947457,Sadio Mané,218,Positive,1,218,2022-10-31T08:19:03.045653Z,2022-10-31T08:19:03.045675Z,7.97,
102848,<html><body><a href=https://twitter.com/anyuser/status/1222336047826317312>URL</a></body></html>,1222336047826317312,Sadio Mané,217,Negative,1,217,2022-10-31T08:18:53.802855Z,2022-10-31T08:18:53.802883Z,23.168,
126897,<html><body><a href=https://twitter.com/anyuser/status/1296033489775730694>URL</a></body></html>,1296033489775730694,Sadio Mané,216,Positive,1,216,2022-10-31T08:18:28.062636Z,2022-10-31T08:18:28.062658Z,16.005,
137470,<html><body><a href=https://twitter.com/anyuser/status/1329509862594764800>URL</a></body></html>,1329509862594764800,Sadio Mané,215,Positive,1,215,2022-10-31T08:18:11.048651Z,2022-10-31T08:18:11.048677Z,10.643,
153673,<html><body><a href=https://twitter.com/anyuser/status/1385929685033422849>URL</a></body></html>,1385929685033422849,Sadio Mané,214,Positive,1,214,2022-10-31T08:17:59.445928Z,2022-10-31T08:17:59.445952Z,10.807,
53992,<html><body><a href=https://twitter.com/anyuser/status/1097958068711616512>URL</a></body></html>,1097958068711616512,Sadio Mané,213,Positive,1,213,2022-10-31T08:17:47.879460Z,2022-10-31T08:17:47.879484Z,9.098,
142142,<html><body><a href=https://twitter.com/anyuser/status/1343556574682476547>URL</a></body></html>,1343556574682476547,Sadio Mané,212,Positive,1,212,2022-10-31T08:17:37.792368Z,2022-10-31T08:17:37.792390Z,10.293,
217565,<html><body><a href=https://twitter.com/anyuser/status/1565045668296753155>URL</a></body></html>,1565045668296753155,Sadio Mané,211,Neutral,1,211,2022-10-31T08:17:26.650901Z,2022-10-31T08:17:26.650923Z,66.008,
166388,<html><body><a href=https://twitter.com/anyuser/status/1445052871280578569>URL</a></body></html>,1445052871280578569,Sadio Mané,210,Positive,1,210,2022-10-31T08:16:18.364442Z,2022-10-31T08:16:18.364461Z,8.94,
188477,<html><body><a href=https://twitter.com/anyuser/status/1507616258392477697>URL</a></body></html>,1507616258392477697,Sadio Mané,209,Irrelevant,1,209,2022-10-31T08:16:08.608892Z,2022-10-31T08:16:08.608917Z,8.625,
1277,<html><body><a href=https://twitter.com/anyuser/status/897779978875621377>URL</a></body></html>,897779978875621377,Sadio Mané,208,Positive,1,208,2022-10-31T08:15:58.990668Z,2022-10-31T08:15:58.990692Z,10.816,
185722,<html><body><a href=https://twitter.com/anyuser/status/1500194070496522252>URL</a></body></html>,1500194070496522252,Sadio Mané,207,Positive,1,207,2022-10-31T08:15:47.320328Z,2022-10-31T08:15:47.320354Z,7.939,
27245,<html><body><a href=https://twitter.com/anyuser/status/989816242713366528>URL</a></body></html>,989816242713366528,Sadio Mané,206,Neutral,1,206,2022-10-31T08:15:38.525444Z,2022-10-31T08:15:38.525470Z,18.179,
