index,url,tweet_id,player_name,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time,comment
113353,<html><body><a href=https://twitter.com/anyuser/status/1437419327418941449>URL</a></body></html>,1437419327418941449,Virgil van Dijk,600,Negative,1,600,2022-11-07T07:54:32.776281Z,2022-11-07T07:54:32.776300Z,8.382,
949,<html><body><a href=https://twitter.com/anyuser/status/893785215684030464>URL</a></body></html>,893785215684030464,Virgil van Dijk,599,Positive,1,599,2022-11-07T07:54:23.120949Z,2022-11-07T07:54:23.120977Z,9.989,
29387,<html><body><a href=https://twitter.com/anyuser/status/1049413545375485953>URL</a></body></html>,1049413545375485953,Virgil van Dijk,598,Neutral,1,598,2022-11-07T07:54:12.163811Z,2022-11-07T07:54:12.163831Z,7.53,
33459,<html><body><a href=https://twitter.com/anyuser/status/1068421961397747712>URL</a></body></html>,1068421961397747712,Virgil van Dijk,597,Neutral,1,597,2022-11-07T07:54:03.622922Z,2022-11-07T07:54:03.622948Z,10.671,
95317,<html><body><a href=https://twitter.com/anyuser/status/1323281391040319491>URL</a></body></html>,1323281391040319491,Virgil van Dijk,596,Negative,1,596,2022-11-07T07:53:51.965860Z,2022-11-07T07:53:51.965886Z,23.754,
73656,<html><body><a href=https://twitter.com/anyuser/status/1151746166855483392>URL</a></body></html>,1151746166855483392,Sadio Mané,595,Neutral,1,595,2022-11-07T07:53:26.935909Z,2022-11-07T07:53:26.935933Z,9.297,
3964,<html><body><a href=https://twitter.com/anyuser/status/905335102816825345>URL</a></body></html>,905335102816825345,Sadio Mané,594,Neutral,1,594,2022-11-07T07:53:16.131614Z,2022-11-07T07:53:16.131635Z,13.757,
28284,<html><body><a href=https://twitter.com/anyuser/status/992352391013060608>URL</a></body></html>,992352391013060608,Sadio Mané,593,Neutral,1,593,2022-11-07T07:53:01.169074Z,2022-11-07T07:53:01.169097Z,15.737,
111106,<html><body><a href=https://twitter.com/anyuser/status/1247230682641956864>URL</a></body></html>,1247230682641956864,Sadio Mané,592,Neutral,1,592,2022-11-07T07:52:44.502210Z,2022-11-07T07:52:44.502237Z,8.142,
199091,<html><body><a href=https://twitter.com/anyuser/status/1529945781066776582>URL</a></body></html>,1529945781066776582,Sadio Mané,591,Neutral,1,591,2022-11-07T07:52:35.304692Z,2022-11-07T07:52:35.304721Z,8.071,
46949,<html><body><a href=https://twitter.com/anyuser/status/1341620126249070592>URL</a></body></html>,1341620126249070592,Robert Lewandowski,590,Positive,1,590,2022-11-07T07:52:25.155590Z,2022-11-07T07:52:25.155610Z,5.993,
