index,url,tweet_id,player_name,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time,comment
76995,<html><body><a href=https://twitter.com/anyuser/status/1224887377945972737>URL</a></body></html>,1224887377945972737,Virgil van Dijk,1829,Neutral,1,611,2022-11-06T19:08:12.194642Z,2022-11-06T19:08:12.194642Z,16.574,
70101,<html><body><a href=https://twitter.com/anyuser/status/1194259814253301760>URL</a></body></html>,1194259814253301760,Virgil van Dijk,1828,Neutral,1,610,2022-11-06T19:07:55.000647Z,2022-11-06T19:07:55.000647Z,13.825,
39783,<html><body><a href=https://twitter.com/anyuser/status/1090687828856434688>URL</a></body></html>,1090687828856434688,Virgil van Dijk,1827,Positive,1,609,2022-11-06T19:07:40.898025Z,2022-11-06T19:07:40.898025Z,8.364,
101186,<html><body><a href=https://twitter.com/anyuser/status/1358486883320365056>URL</a></body></html>,1358486883320365056,Virgil van Dijk,1826,Positive,1,608,2022-11-06T19:07:32.257921Z,2022-11-06T19:07:32.257921Z,14.229,
112520,<html><body><a href=https://twitter.com/anyuser/status/1433298620875431936>URL</a></body></html>,1433298620875431936,Virgil van Dijk,1825,Neutral,1,607,2022-11-06T19:07:17.704016Z,2022-11-06T19:07:17.704016Z,21.495,
27218,<html><body><a href=https://twitter.com/anyuser/status/1039124117633593344>URL</a></body></html>,1039124117633593344,Virgil van Dijk,1824,Positive,1,606,2022-11-06T19:06:35.762439Z,2022-11-06T19:06:35.762439Z,14.845,
40174,<html><body><a href=https://twitter.com/anyuser/status/1092459295579557888>URL</a></body></html>,1092459295579557888,Virgil van Dijk,1823,Positive,1,605,2022-11-06T19:06:20.643387Z,2022-11-06T19:06:20.643387Z,11.718,
39609,<html><body><a href=https://twitter.com/anyuser/status/1090383095054942208>URL</a></body></html>,1090383095054942208,Virgil van Dijk,1822,Other,1,604,2022-11-06T19:06:08.634672Z,2022-11-06T19:06:08.634672Z,35.621,Unsure
58033,<html><body><a href=https://twitter.com/anyuser/status/1148324512674537472>URL</a></body></html>,1148324512674537472,Virgil van Dijk,1821,Positive,1,603,2022-11-06T19:05:32.752275Z,2022-11-06T19:05:32.752275Z,16.38,
10926,<html><body><a href=https://twitter.com/anyuser/status/942891293855895553>URL</a></body></html>,942891293855895553,Virgil van Dijk,1820,Neutral,1,602,2022-11-06T19:05:16.088873Z,2022-11-06T19:05:16.088873Z,12.1,
103944,<html><body><a href=https://twitter.com/anyuser/status/1379052531830165508>URL</a></body></html>,1379052531830165508,Virgil van Dijk,1819,Positive,1,601,2022-11-06T19:05:03.683135Z,2022-11-06T19:05:03.683135Z,15.556,
951,<html><body><a href=https://twitter.com/anyuser/status/893786265585422336>URL</a></body></html>,893786265585422336,Virgil van Dijk,1818,Neutral,1,600,2022-11-06T19:04:47.537661Z,2022-11-06T19:04:47.537661Z,12.889,
17994,<html><body><a href=https://twitter.com/anyuser/status/961303043634425856>URL</a></body></html>,961303043634425856,Virgil van Dijk,1817,Neutral,1,599,2022-11-06T19:04:34.355727Z,2022-11-06T19:04:34.355727Z,12.185,
95519,<html><body><a href=https://twitter.com/anyuser/status/1324160750294867973>URL</a></body></html>,1324160750294867973,Virgil van Dijk,1816,Neutral,1,598,2022-11-06T19:04:21.882348Z,2022-11-06T19:04:21.882348Z,65.99,
58089,<html><body><a href=https://twitter.com/anyuser/status/1148630067725160449>URL</a></body></html>,1148630067725160449,Virgil van Dijk,1815,Positive,1,597,2022-11-06T19:03:15.292556Z,2022-11-06T19:03:15.292556Z,18.483,
117585,<html><body><a href=https://twitter.com/anyuser/status/1466594519651164171>URL</a></body></html>,1466594519651164171,Virgil van Dijk,1814,Neutral,1,596,2022-11-06T19:02:56.533363Z,2022-11-06T19:02:56.533363Z,33.985,
40815,<html><body><a href=https://twitter.com/anyuser/status/1097786484772556803>URL</a></body></html>,1097786484772556803,Virgil van Dijk,1813,Neutral,1,595,2022-11-06T19:02:22.263483Z,2022-11-06T19:02:22.263483Z,9.754,
34272,<html><body><a href=https://twitter.com/anyuser/status/1072131319226949632>URL</a></body></html>,1072131319226949632,Virgil van Dijk,1812,Neutral,1,594,2022-11-06T19:02:12.225132Z,2022-11-06T19:02:12.225132Z,21.979,
109562,<html><body><a href=https://twitter.com/anyuser/status/1421010171791282177>URL</a></body></html>,1421010171791282177,Virgil van Dijk,1811,Neutral,1,593,2022-11-06T19:01:49.972524Z,2022-11-06T19:01:49.972524Z,37.765,
4444,<html><body><a href=https://twitter.com/anyuser/status/901530646790668288>URL</a></body></html>,901530646790668288,Virgil van Dijk,1810,Neutral,1,592,2022-11-06T19:01:11.929161Z,2022-11-06T19:01:11.929161Z,57.568,
9281,<html><body><a href=https://twitter.com/anyuser/status/931292679559925760>URL</a></body></html>,931292679559925760,Virgil van Dijk,1809,Neutral,1,591,2022-11-06T19:00:13.752134Z,2022-11-06T19:00:13.753132Z,24.434,
43456,<html><body><a href=https://twitter.com/anyuser/status/1105943965835165696>URL</a></body></html>,1105943965835165696,Virgil van Dijk,1808,Positive,1,590,2022-11-06T18:59:49.056029Z,2022-11-06T18:59:49.056029Z,15.296,
120843,<html><body><a href=https://twitter.com/anyuser/status/1488504643873300483>URL</a></body></html>,1488504643873300483,Virgil van Dijk,1807,Positive,1,589,2022-11-06T18:59:33.473193Z,2022-11-06T18:59:33.473193Z,12.797,
40551,<html><body><a href=https://twitter.com/anyuser/status/1096146882794004481>URL</a></body></html>,1096146882794004481,Virgil van Dijk,1806,Positive,1,588,2022-11-06T18:59:20.391546Z,2022-11-06T18:59:20.391546Z,17.516,
118374,<html><body><a href=https://twitter.com/anyuser/status/1472996709647228930>URL</a></body></html>,1472996709647228930,Virgil van Dijk,1805,Positive,1,587,2022-11-06T18:59:02.579468Z,2022-11-06T18:59:02.579468Z,26.954,
223328,<html><body><a href=https://twitter.com/anyuser/status/1578063805933912064>URL</a></body></html>,1578063805933912064,Sadio Mané,1804,Neutral,1,586,2022-11-06T18:58:21.626393Z,2022-11-06T18:58:21.626393Z,27.226,
204810,<html><body><a href=https://twitter.com/anyuser/status/1540273431589146630>URL</a></body></html>,1540273431589146630,Sadio Mané,1803,Neutral,1,585,2022-11-06T18:57:54.124340Z,2022-11-06T18:57:54.124340Z,39.79,
6059,<html><body><a href=https://twitter.com/anyuser/status/909283273469255681>URL</a></body></html>,909283273469255681,Sadio Mané,1802,Neutral,1,584,2022-11-06T18:57:13.708869Z,2022-11-06T18:57:13.708869Z,34.684,
194252,<html><body><a href=https://twitter.com/anyuser/status/1520780198475706369>URL</a></body></html>,1520780198475706369,Sadio Mané,1801,Positive,1,583,2022-11-06T18:56:38.731341Z,2022-11-06T18:56:38.731341Z,19.425,
163780,<html><body><a href=https://twitter.com/anyuser/status/1437108485280477187>URL</a></body></html>,1437108485280477187,Sadio Mané,1800,Other,1,582,2022-11-06T18:56:19.025211Z,2022-11-06T18:56:19.025211Z,44.864,Unsure. Seems positive but context seems like it could also be negative 
102600,<html><body><a href=https://twitter.com/anyuser/status/1221944489830494209>URL</a></body></html>,1221944489830494209,Sadio Mané,1799,Other,1,581,2022-11-06T18:55:33.890627Z,2022-11-06T18:55:33.890627Z,15.347,Unsure
64753,<html><body><a href=https://twitter.com/anyuser/status/1125859812879872000>URL</a></body></html>,1125859812879872000,Sadio Mané,1798,Neutral,1,580,2022-11-06T18:55:18.271882Z,2022-11-06T18:55:18.271882Z,19.833,
117198,<html><body><a href=https://twitter.com/anyuser/status/1265969888809684993>URL</a></body></html>,1265969888809684993,Sadio Mané,1797,Neutral,1,579,2022-11-06T18:54:58.166199Z,2022-11-06T18:54:58.166199Z,23.757,
63806,<html><body><a href=https://twitter.com/anyuser/status/1122960361081180160>URL</a></body></html>,1122960361081180160,Sadio Mané,1796,Neutral,1,578,2022-11-06T18:54:34.137757Z,2022-11-06T18:54:34.137757Z,15.079,
112570,<html><body><a href=https://twitter.com/anyuser/status/1250196451151564801>URL</a></body></html>,1250196451151564801,Sadio Mané,1795,Neutral,1,577,2022-11-06T18:54:18.769453Z,2022-11-06T18:54:18.769453Z,12.289,
130827,<html><body><a href=https://twitter.com/anyuser/status/1309070075840749568>URL</a></body></html>,1309070075840749568,Sadio Mané,1794,Positive,1,576,2022-11-06T18:54:05.885016Z,2022-11-06T18:54:05.885016Z,9.149,
27244,<html><body><a href=https://twitter.com/anyuser/status/989866575036600320>URL</a></body></html>,989866575036600320,Sadio Mané,1793,Neutral,1,575,2022-11-06T18:53:56.454822Z,2022-11-06T18:53:56.454822Z,8.322,
139561,<html><body><a href=https://twitter.com/anyuser/status/1335688572196835329>URL</a></body></html>,1335688572196835329,Sadio Mané,1792,Neutral,1,574,2022-11-06T18:53:47.856526Z,2022-11-06T18:53:47.856526Z,15.085,
