index,url,tweet_id,player_name,id,sentiment,comment,annotator,annotation_id,created_at,updated_at,lead_time
16421,<html><body><a href=https://twitter.com/anyuser/status/955795955315453952>URL</a></body></html>,955795955315453952,Virgil van Dijk,1579,Other,"News, but obviously a bot so marked as other. Don't know if its correct",1,361,2022-11-06T16:01:51.601307Z,2022-11-06T16:01:51.601307Z,43.925
76655,<html><body><a href=https://twitter.com/anyuser/status/1223610731792404480>URL</a></body></html>,1223610731792404480,Virgil van Dijk,1578,Neutral,,1,360,2022-11-06T16:01:07.361478Z,2022-11-06T16:01:07.361478Z,21.345
66795,<html><body><a href=https://twitter.com/anyuser/status/1176390891638071296>URL</a></body></html>,1176390891638071296,Virgil van Dijk,1577,Neutral,,1,359,2022-11-06T16:00:45.748702Z,2022-11-06T16:00:45.748702Z,14.055
124769,<html><body><a href=https://twitter.com/anyuser/status/1509126958491316230>URL</a></body></html>,1509126958491316230,Virgil van Dijk,1576,Neutral,,1,358,2022-11-06T16:00:31.423210Z,2022-11-06T16:00:31.423210Z,10.429
137087,<html><body><a href=https://twitter.com/anyuser/status/1571379331074560000>URL</a></body></html>,1571379331074560000,Virgil van Dijk,1575,Other,Could go both ways,1,357,2022-11-06T16:00:20.696289Z,2022-11-06T16:00:20.696289Z,41.627
52382,<html><body><a href=https://twitter.com/anyuser/status/1090731827772350464>URL</a></body></html>,1090731827772350464,Sadio Mané,1574,Neutral,,1,356,2022-11-06T15:59:38.408849Z,2022-11-06T15:59:38.408849Z,31.149
170742,<html><body><a href=https://twitter.com/anyuser/status/1459612286771818497>URL</a></body></html>,1459612286771818497,Sadio Mané,1573,Other,what,1,355,2022-11-06T15:59:06.994474Z,2022-11-06T15:59:06.994474Z,20.306
224123,<html><body><a href=https://twitter.com/anyuser/status/1579904793702957058>URL</a></body></html>,1579904793702957058,Sadio Mané,1572,Neutral,,1,354,2022-11-06T15:58:46.406158Z,2022-11-06T15:58:46.406158Z,34.975
37164,<html><body><a href=https://twitter.com/anyuser/status/1031648016871108608>URL</a></body></html>,1031648016871108608,Sadio Mané,1571,Neutral,,1,353,2022-11-06T15:58:10.819621Z,2022-11-06T15:58:10.819621Z,14.563
104089,<html><body><a href=https://twitter.com/anyuser/status/1226890231200153609>URL</a></body></html>,1226890231200153609,Sadio Mané,1570,Positive,,1,352,2022-11-06T15:57:55.976316Z,2022-11-06T15:57:55.976316Z,25.457
