,index,url,tweet_id,player_name,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time,comment
15,74163,<html><body><a href=https://twitter.com/anyuser/status/1211416028359675909>URL</a></body></html>,1211416028359675909,Virgil van Dijk,485,Positive,1,490,2022-11-05T13:15:51.502287Z,2022-11-05T13:15:51.502287Z,16.23,
16,85991,<html><body><a href=https://twitter.com/anyuser/status/1278039516406841344>URL</a></body></html>,1278039516406841344,Virgil van Dijk,484,Positive,1,489,2022-11-05T13:15:33.920237Z,2022-11-05T13:15:33.920237Z,24.045,
17,85083,<html><body><a href=https://twitter.com/anyuser/status/1274425465420369920>URL</a></body></html>,1274425465420369920,Virgil van Dijk,483,Positive,1,488,2022-11-05T13:15:08.715534Z,2022-11-05T13:15:08.715534Z,27.356,
18,20049,<html><body><a href=https://twitter.com/anyuser/status/972089780472287233>URL</a></body></html>,972089780472287233,Virgil van Dijk,482,Neutral,1,487,2022-11-05T13:14:40.342013Z,2022-11-05T13:14:40.342013Z,17.432,
19,97319,<html><body><a href=https://twitter.com/anyuser/status/1335700779039141888>URL</a></body></html>,1335700779039141888,Virgil van Dijk,481,Neutral,1,486,2022-11-05T13:14:22.011639Z,2022-11-05T13:14:22.011639Z,52.8,
29,104913,<html><body><a href=https://twitter.com/anyuser/status/1562037094146605056>URL</a></body></html>,1562037094146605056,Robert Lewandowski,441,Positive,1,476,2022-11-05T13:08:37.407816Z,2022-11-05T13:08:37.408885Z,17.752,
43,2761,<html><body><a href=https://twitter.com/anyuser/status/901832603036262401>URL</a></body></html>,901832603036262401,Sadio Mané,465,Positive,1,462,2022-11-05T12:54:42.161140Z,2022-11-05T12:54:42.161140Z,7.311,
44,177490,<html><body><a href=https://twitter.com/anyuser/status/1481758705825820677>URL</a></body></html>,1481758705825820677,Sadio Mané,464,Neutral,1,461,2022-11-05T12:54:33.914985Z,2022-11-05T12:54:33.914985Z,73.174,
45,75593,<html><body><a href=https://twitter.com/anyuser/status/1158435967663050755>URL</a></body></html>,1158435967663050755,Sadio Mané,463,Neutral,1,460,2022-11-05T12:53:19.123878Z,2022-11-05T12:53:19.123878Z,15.833,
46,25557,<html><body><a href=https://twitter.com/anyuser/status/983810831552049153>URL</a></body></html>,983810831552049153,Sadio Mané,462,Neutral,1,459,2022-11-05T12:53:02.020160Z,2022-11-05T12:53:02.020160Z,18.414,
47,205389,<html><body><a href=https://twitter.com/anyuser/status/1541351947869081600>URL</a></body></html>,1541351947869081600,Sadio Mané,461,Positive,1,458,2022-11-05T12:52:42.673249Z,2022-11-05T12:52:42.673249Z,16.902,
63,47154,<html><body><a href=https://twitter.com/anyuser/status/1343228537558368258>URL</a></body></html>,1343228537558368258,Robert Lewandowski,445,Neutral,1,442,2022-11-05T11:55:52.831603Z,2022-11-05T11:55:52.831603Z,24.727,
64,38175,<html><body><a href=https://twitter.com/anyuser/status/1294557972320980992>URL</a></body></html>,1294557972320980992,Robert Lewandowski,444,Neutral,1,441,2022-11-05T11:55:27.205115Z,2022-11-05T11:55:27.205115Z,8.096,
65,38972,<html><body><a href=https://twitter.com/anyuser/status/1297276258599002114>URL</a></body></html>,1297276258599002114,Robert Lewandowski,443,Positive,1,440,2022-11-05T11:55:18.512182Z,2022-11-05T11:55:18.512182Z,12.273,
66,42302,<html><body><a href=https://twitter.com/anyuser/status/1316469928355147776>URL</a></body></html>,1316469928355147776,Robert Lewandowski,442,Positive,1,439,2022-11-05T11:55:04.608597Z,2022-11-05T11:55:04.608597Z,6.922,
75,68530,<html><body><a href=https://twitter.com/anyuser/status/1491781503243665408>URL</a></body></html>,1491781503243665408,Riyad Mahrez,425,Positive,1,430,2022-11-05T11:52:30.552407Z,2022-11-05T11:52:30.552407Z,22.445,
76,3201,<html><body><a href=https://twitter.com/anyuser/status/903037704212029440>URL</a></body></html>,903037704212029440,Riyad Mahrez,424,Neutral,1,429,2022-11-05T11:52:07.078915Z,2022-11-05T11:52:07.078915Z,25.587,
77,66489,<html><body><a href=https://twitter.com/anyuser/status/1478670241756594186>URL</a></body></html>,1478670241756594186,Riyad Mahrez,423,Other,1,428,2022-11-05T11:51:40.532403Z,2022-11-05T11:51:40.532403Z,83.618,Dont know the sentiment of this
78,61931,<html><body><a href=https://twitter.com/anyuser/status/1433135706637930499>URL</a></body></html>,1433135706637930499,Riyad Mahrez,422,Positive,1,427,2022-11-05T11:50:16.062746Z,2022-11-05T11:50:16.062746Z,27.551,
79,36751,<html><body><a href=https://twitter.com/anyuser/status/1175412953874608129>URL</a></body></html>,1175412953874608129,Riyad Mahrez,421,Positive,1,426,2022-11-05T11:49:47.394328Z,2022-11-05T11:49:47.394328Z,21.742,
95,41279,<html><body><a href=https://twitter.com/anyuser/status/967007733709930497>URL</a></body></html>,967007733709930497,Neymar,405,Positive,1,410,2022-11-05T11:41:44.555458Z,2022-11-05T11:41:44.555458Z,16.478,
96,328050,<html><body><a href=https://twitter.com/anyuser/status/1486766303574736908>URL</a></body></html>,1486766303574736908,Neymar,404,Neutral,1,409,2022-11-05T11:41:27.026890Z,2022-11-05T11:41:27.026890Z,26.71,
97,322404,<html><body><a href=https://twitter.com/anyuser/status/1476654262524739588>URL</a></body></html>,1476654262524739588,Neymar,403,Negative,1,408,2022-11-05T11:40:50.473798Z,2022-11-05T11:40:50.473798Z,12.863,
98,108520,<html><body><a href=https://twitter.com/anyuser/status/1088804877592088577>URL</a></body></html>,1088804877592088577,Neymar,402,Positive,1,407,2022-11-05T11:40:36.645385Z,2022-11-05T11:40:36.645385Z,8.113,
99,254367,<html><body><a href=https://twitter.com/anyuser/status/1353123269927436288>URL</a></body></html>,1353123269927436288,Neymar,401,Other,1,406,2022-11-05T11:39:42.184536Z,2022-11-05T11:39:52.321675Z,27.117,Ambigous
115,216676,<html><body><a href=https://twitter.com/anyuser/status/1284954392714772485>URL</a></body></html>,1284954392714772485,Lionel Messi,385,Positive,1,390,2022-11-04T15:30:06.845711Z,2022-11-04T15:30:06.845711Z,34.927,
116,892,<html><body><a href=https://twitter.com/anyuser/status/893939244019929088>URL</a></body></html>,893939244019929088,Lionel Messi,384,Positive,1,389,2022-11-04T15:29:31.199733Z,2022-11-04T15:29:31.199733Z,25.707,
117,296363,<html><body><a href=https://twitter.com/anyuser/status/1429050703792676865>URL</a></body></html>,1429050703792676865,Lionel Messi,383,Neutral,1,388,2022-11-04T15:29:04.403303Z,2022-11-04T15:29:04.403303Z,31.804,
118,33880,<html><body><a href=https://twitter.com/anyuser/status/953731213621067777>URL</a></body></html>,953731213621067777,Lionel Messi,382,Neutral,1,387,2022-11-04T15:28:31.295451Z,2022-11-04T15:28:31.295451Z,17.438,
119,130320,<html><body><a href=https://twitter.com/anyuser/status/1128214533737275392>URL</a></body></html>,1128214533737275392,Lionel Messi,381,Neutral,1,386,2022-11-04T15:28:12.689735Z,2022-11-04T15:28:12.689735Z,58.979,
135,292832,<html><body><a href=https://twitter.com/anyuser/status/1428383466585010188>URL</a></body></html>,1428383466585010188,Kylian Mbappé,365,Neutral,1,370,2022-11-04T15:21:39.251827Z,2022-11-04T15:21:39.251827Z,21.422,
136,354674,<html><body><a href=https://twitter.com/anyuser/status/1540727442603737090>URL</a></body></html>,1540727442603737090,Kylian Mbappé,364,Neutral,1,369,2022-11-04T15:21:15.642343Z,2022-11-04T15:21:15.642343Z,14.724,
137,330214,<html><body><a href=https://twitter.com/anyuser/status/1496108109219172352>URL</a></body></html>,1496108109219172352,Kylian Mbappé,363,Negative,1,368,2022-11-04T15:20:59.724113Z,2022-11-04T15:20:59.724113Z,23.244,
138,253616,<html><body><a href=https://twitter.com/anyuser/status/1357283934837624835>URL</a></body></html>,1357283934837624835,Kylian Mbappé,362,Neutral,1,367,2022-11-04T15:20:32.159555Z,2022-11-04T15:20:32.159555Z,26.945,
139,126234,<html><body><a href=https://twitter.com/anyuser/status/1126550254134923264>URL</a></body></html>,1126550254134923264,Kylian Mbappé,361,Neutral,1,366,2022-11-04T15:20:04.208058Z,2022-11-04T15:20:04.208058Z,14.291,
155,316485,<html><body><a href=https://twitter.com/anyuser/status/1528369212850376704>URL</a></body></html>,1528369212850376704,Kevin De Bruyne,345,Negative,1,350,2022-11-04T15:13:59.637892Z,2022-11-04T15:13:59.637892Z,20.342,
156,238645,<html><body><a href=https://twitter.com/anyuser/status/1383080433605341188>URL</a></body></html>,1383080433605341188,Kevin De Bruyne,344,Neutral,1,349,2022-11-04T15:13:36.945710Z,2022-11-04T15:13:36.945710Z,11.521,
157,344274,<html><body><a href=https://twitter.com/anyuser/status/1578722507116277761>URL</a></body></html>,1578722507116277761,Kevin De Bruyne,343,Positive,1,348,2022-11-04T15:13:24.214155Z,2022-11-04T15:13:24.214155Z,40.213,
158,279387,<html><body><a href=https://twitter.com/anyuser/status/1457785002637201408>URL</a></body></html>,1457785002637201408,Kevin De Bruyne,342,Neutral,1,347,2022-11-04T15:12:42.971732Z,2022-11-04T15:12:42.971732Z,15.278,
159,118068,<html><body><a href=https://twitter.com/anyuser/status/1158716469938704384>URL</a></body></html>,1158716469938704384,Kevin De Bruyne,341,Neutral,1,346,2022-11-04T15:12:26.573014Z,2022-11-04T15:12:26.573014Z,10.917,
175,104117,<html><body><a href=https://twitter.com/anyuser/status/1502407560195940353>URL</a></body></html>,1502407560195940353,Erling Haaland,325,Neutral,1,330,2022-11-04T15:08:01.213982Z,2022-11-04T15:08:01.213982Z,14.685,
176,95107,<html><body><a href=https://twitter.com/anyuser/status/1482581110790197248>URL</a></body></html>,1482581110790197248,Erling Haaland,324,Neutral,1,329,2022-11-04T15:07:45.446335Z,2022-11-04T15:07:45.446335Z,17.079,
177,109905,<html><body><a href=https://twitter.com/anyuser/status/1514520361542598656>URL</a></body></html>,1514520361542598656,Erling Haaland,323,Positive,1,328,2022-11-04T15:07:27.320642Z,2022-11-04T15:07:27.320642Z,10.773,
178,22329,<html><body><a href=https://twitter.com/anyuser/status/1265595066619478021>URL</a></body></html>,1265595066619478021,Erling Haaland,322,Neutral,1,327,2022-11-04T15:07:15.593446Z,2022-11-04T15:07:15.593446Z,11.008,
179,105799,<html><body><a href=https://twitter.com/anyuser/status/1505256131798646792>URL</a></body></html>,1505256131798646792,Erling Haaland,321,Neutral,1,326,2022-11-04T15:07:03.538059Z,2022-11-04T15:07:03.546085Z,15.285,
195,212793,<html><body><a href=https://twitter.com/anyuser/status/1278327931253559296>URL</a></body></html>,1278327931253559296,Cristiano Ronaldo,305,Positive,1,310,2022-11-04T15:01:36.839671Z,2022-11-04T15:01:36.839671Z,12.293,
196,304805,<html><body><a href=https://twitter.com/anyuser/status/1444936164260077568>URL</a></body></html>,1444936164260077568,Cristiano Ronaldo,304,Neutral,1,309,2022-11-04T15:01:23.594190Z,2022-11-04T15:01:23.594190Z,32.045,
197,166816,<html><body><a href=https://twitter.com/anyuser/status/1195071173069090821>URL</a></body></html>,1195071173069090821,Cristiano Ronaldo,303,Positive,1,308,2022-11-04T15:00:50.536034Z,2022-11-04T15:00:50.536034Z,18.448,
198,221590,<html><body><a href=https://twitter.com/anyuser/status/1294383215524880386>URL</a></body></html>,1294383215524880386,Cristiano Ronaldo,302,Positive,1,307,2022-11-04T15:00:31.136868Z,2022-11-04T15:00:31.136868Z,21.357,
199,18639,<html><body><a href=https://twitter.com/anyuser/status/925899816185597952>URL</a></body></html>,925899816185597952,Cristiano Ronaldo,301,Positive,1,306,2022-11-04T15:00:08.862161Z,2022-11-04T15:00:08.862161Z,16.807,
