index,url,tweet_id,player_name,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time,comment
79201,<html><body><a href=https://twitter.com/anyuser/status/1056198727289888768>URL</a></body></html>,1056198727289888768,Kevin De Bruyne,11,Negative,1,353,2022-11-09T10:13:39.676280Z,2022-11-09T10:14:44.396025Z,95.303,
31416,<html><body><a href=https://twitter.com/anyuser/status/1058802374658179073>URL</a></body></html>,1058802374658179073,Virgil van Dijk,50,Positive,1,51,2022-11-06T18:58:31.974520Z,2022-11-06T18:58:31.974615Z,22.736,
73886,<html><body><a href=https://twitter.com/anyuser/status/1210380441380782080>URL</a></body></html>,1210380441380782080,Virgil van Dijk,49,Positive,1,50,2022-11-06T18:58:07.598550Z,2022-11-06T18:58:07.598629Z,7.116,
20306,<html><body><a href=https://twitter.com/anyuser/status/975394695206629376>URL</a></body></html>,975394695206629376,Virgil van Dijk,48,Positive,1,49,2022-11-06T18:57:59.141800Z,2022-11-06T18:57:59.141901Z,8.785,
37586,<html><body><a href=https://twitter.com/anyuser/status/1080770432876331008>URL</a></body></html>,1080770432876331008,Virgil van Dijk,47,Positive,1,48,2022-11-06T18:57:49.057291Z,2022-11-06T18:57:49.057402Z,15.887,
36879,<html><body><a href=https://twitter.com/anyuser/status/1078727086934818816>URL</a></body></html>,1078727086934818816,Virgil van Dijk,46,Neutral,1,47,2022-11-06T18:57:31.889444Z,2022-11-06T18:57:31.889515Z,24.395,
43052,<html><body><a href=https://twitter.com/anyuser/status/1052552173844717568>URL</a></body></html>,1052552173844717568,Sadio Mané,45,Neutral,1,46,2022-11-06T18:57:06.206820Z,2022-11-06T18:57:06.206966Z,2.729,
224078,<html><body><a href=https://twitter.com/anyuser/status/1579948130749280256>URL</a></body></html>,1579948130749280256,Sadio Mané,44,Positive,1,44,2022-11-06T18:56:47.623701Z,2022-11-06T18:56:47.623793Z,14.392,
131753,<html><body><a href=https://twitter.com/anyuser/status/1311702367847378944>URL</a></body></html>,1311702367847378944,Sadio Mané,43,Positive,1,43,2022-11-06T18:56:31.888530Z,2022-11-06T18:56:31.888623Z,8.362,
214539,<html><body><a href=https://twitter.com/anyuser/status/1559283009282523140>URL</a></body></html>,1559283009282523140,Sadio Mané,42,Positive,1,42,2022-11-06T18:56:21.971335Z,2022-11-06T18:56:21.971429Z,8.979,
153729,<html><body><a href=https://twitter.com/anyuser/status/1385885617955934209>URL</a></body></html>,1385885617955934209,Sadio Mané,41,Positive,1,41,2022-11-06T18:56:11.305145Z,2022-11-06T18:56:11.305300Z,9.036,
31493,<html><body><a href=https://twitter.com/anyuser/status/1254378862160556032>URL</a></body></html>,1254378862160556032,Robert Lewandowski,40,Positive,1,40,2022-11-06T18:56:00.308675Z,2022-11-06T18:56:00.308846Z,7.017,
85299,<html><body><a href=https://twitter.com/anyuser/status/1514030988552196101>URL</a></body></html>,1514030988552196101,Robert Lewandowski,39,Neutral,1,39,2022-11-06T18:55:52.049951Z,2022-11-06T18:55:52.050036Z,10.95,
15154,<html><body><a href=https://twitter.com/anyuser/status/1024272949086318592>URL</a></body></html>,1024272949086318592,Robert Lewandowski,38,Positive,1,38,2022-11-06T18:55:39.441163Z,2022-11-06T18:55:39.441569Z,9.78,
92973,<html><body><a href=https://twitter.com/anyuser/status/1534929873529147393>URL</a></body></html>,1534929873529147393,Robert Lewandowski,37,Neutral,1,37,2022-11-06T18:55:28.367424Z,2022-11-06T18:55:28.367490Z,6.645,
50989,<html><body><a href=https://twitter.com/anyuser/status/1368282459427672064>URL</a></body></html>,1368282459427672064,Robert Lewandowski,36,Positive,1,36,2022-11-06T18:55:20.190347Z,2022-11-06T18:55:20.190439Z,6.96,
1521,<html><body><a href=https://twitter.com/anyuser/status/896001301720440833>URL</a></body></html>,896001301720440833,Riyad Mahrez,35,Neutral,1,35,2022-11-06T18:55:11.699161Z,2022-11-06T18:55:11.699218Z,8.026,
53596,<html><body><a href=https://twitter.com/anyuser/status/1368660140480684034>URL</a></body></html>,1368660140480684034,Riyad Mahrez,34,Positive,1,34,2022-11-06T18:55:02.337882Z,2022-11-06T18:55:02.337974Z,9.767,
57602,<html><body><a href=https://twitter.com/anyuser/status/1395832814747013120>URL</a></body></html>,1395832814747013120,Riyad Mahrez,33,Positive,1,33,2022-11-06T18:54:51.134429Z,2022-11-06T18:54:51.134515Z,17.503,
51145,<html><body><a href=https://twitter.com/anyuser/status/1341939274267193346>URL</a></body></html>,1341939274267193346,Riyad Mahrez,32,Neutral,1,32,2022-11-06T18:54:32.212201Z,2022-11-06T18:54:32.212252Z,9.479,
12000,<html><body><a href=https://twitter.com/anyuser/status/953528591429636098>URL</a></body></html>,953528591429636098,Riyad Mahrez,31,Positive,1,31,2022-11-06T18:54:21.408138Z,2022-11-06T18:54:21.408243Z,9.698,
85144,<html><body><a href=https://twitter.com/anyuser/status/1046261005305688064>URL</a></body></html>,1046261005305688064,Neymar,30,Positive,1,30,2022-11-06T18:54:10.294696Z,2022-11-06T18:54:10.294795Z,7.369,
307121,<html><body><a href=https://twitter.com/anyuser/status/1448725966075932675>URL</a></body></html>,1448725966075932675,Neymar,29,Negative,1,29,2022-11-06T18:54:00.907661Z,2022-11-06T18:54:00.907713Z,10.27,
101191,<html><body><a href=https://twitter.com/anyuser/status/1075535124656197633>URL</a></body></html>,1075535124656197633,Neymar,28,Positive,1,28,2022-11-06T18:53:49.292195Z,2022-11-06T18:53:49.292284Z,21.591,
10963,<html><body><a href=https://twitter.com/anyuser/status/911911866384965632>URL</a></body></html>,911911866384965632,Neymar,27,Other,1,27,2022-11-06T18:53:26.321508Z,2022-11-06T18:53:26.321698Z,14.117,in spanish
352015,<html><body><a href=https://twitter.com/anyuser/status/1530160557789065216>URL</a></body></html>,1530160557789065216,Neymar,26,Neutral,1,26,2022-11-06T18:53:10.874218Z,2022-11-06T18:53:10.874276Z,8.099,
144235,<html><body><a href=https://twitter.com/anyuser/status/1153738608605650945>URL</a></body></html>,1153738608605650945,Lionel Messi,25,Positive,1,25,2022-11-06T18:53:01.336354Z,2022-11-06T18:53:01.336414Z,19.414,
179925,<html><body><a href=https://twitter.com/anyuser/status/1218219381211176960>URL</a></body></html>,1218219381211176960,Lionel Messi,24,Positive,1,24,2022-11-06T18:52:40.600689Z,2022-11-06T18:52:40.600739Z,15.65,
140110,<html><body><a href=https://twitter.com/anyuser/status/1146113544833982465>URL</a></body></html>,1146113544833982465,Lionel Messi,23,Neutral,1,23,2022-11-06T18:52:23.562279Z,2022-11-06T18:52:23.562330Z,14.961,
371846,<html><body><a href=https://twitter.com/anyuser/status/1566029047133573123>URL</a></body></html>,1566029047133573123,Lionel Messi,22,Other,1,22,2022-11-06T18:52:07.322182Z,2022-11-06T18:52:07.322323Z,11.056,"""Hmm... this page doesn’t exist. Try searching for something else.2"
63226,<html><body><a href=https://twitter.com/anyuser/status/1006917210554580992>URL</a></body></html>,1006917210554580992,Lionel Messi,21,Positive,1,21,2022-11-06T18:51:54.927283Z,2022-11-06T18:51:54.927343Z,7.567,
291655,<html><body><a href=https://twitter.com/anyuser/status/1426015749047476231>URL</a></body></html>,1426015749047476231,Kylian Mbappé,20,Positive,1,20,2022-11-06T18:51:46.044248Z,2022-11-06T18:51:46.044317Z,7.699,
308509,<html><body><a href=https://twitter.com/anyuser/status/1457092503472119812>URL</a></body></html>,1457092503472119812,Kylian Mbappé,19,Positive,1,19,2022-11-06T18:51:36.981947Z,2022-11-06T18:51:36.981998Z,14.067,
197909,<html><body><a href=https://twitter.com/anyuser/status/1256071456833695744>URL</a></body></html>,1256071456833695744,Kylian Mbappé,18,Positive,1,18,2022-11-06T18:51:21.429563Z,2022-11-06T18:51:21.429596Z,6.925,
287860,<html><body><a href=https://twitter.com/anyuser/status/1419336794240438274>URL</a></body></html>,1419336794240438274,Kylian Mbappé,17,Neutral,1,17,2022-11-06T18:51:13.088068Z,2022-11-06T18:51:13.088103Z,28.504,
316020,<html><body><a href=https://twitter.com/anyuser/status/1470354841570578436>URL</a></body></html>,1470354841570578436,Kylian Mbappé,16,Positive,1,16,2022-11-06T18:50:43.192941Z,2022-11-06T18:50:43.193034Z,14.829,
90326,<html><body><a href=https://twitter.com/anyuser/status/1083072457488109569>URL</a></body></html>,1083072457488109569,Kevin De Bruyne,15,Neutral,1,15,2022-11-06T18:50:27.002002Z,2022-11-06T18:50:27.002066Z,14.357,
36259,<html><body><a href=https://twitter.com/anyuser/status/965886046222340096>URL</a></body></html>,965886046222340096,Kevin De Bruyne,14,Negative,1,14,2022-11-06T18:50:11.355459Z,2022-11-06T18:50:11.355546Z,22.668,
53747,<html><body><a href=https://twitter.com/anyuser/status/1001407340074151936>URL</a></body></html>,1001407340074151936,Kevin De Bruyne,13,Positive,1,13,2022-11-06T18:49:47.418247Z,2022-11-06T18:49:47.418290Z,23.683,
33402,<html><body><a href=https://twitter.com/anyuser/status/960855597015908352>URL</a></body></html>,960855597015908352,Kevin De Bruyne,12,Positive,1,12,2022-11-06T18:49:22.129147Z,2022-11-06T18:49:22.129218Z,12.135,
27489,<html><body><a href=https://twitter.com/anyuser/status/1308517131613503488>URL</a></body></html>,1308517131613503488,Erling Haaland,10,Neutral,1,10,2022-11-06T18:48:22.860219Z,2022-11-06T18:48:22.860279Z,11.183,
89008,<html><body><a href=https://twitter.com/anyuser/status/1470368111106961409>URL</a></body></html>,1470368111106961409,Erling Haaland,9,Positive,1,9,2022-11-06T18:48:10.353403Z,2022-11-06T18:48:10.353460Z,9.371,
128624,<html><body><a href=https://twitter.com/anyuser/status/1552190369881886720>URL</a></body></html>,1552190369881886720,Erling Haaland,8,Positive,1,8,2022-11-06T18:47:59.645502Z,2022-11-06T18:47:59.645559Z,17.02,
130480,<html><body><a href=https://twitter.com/anyuser/status/1555485511971528704>URL</a></body></html>,1555485511971528704,Erling Haaland,7,Positive,1,7,2022-11-06T18:47:41.178069Z,2022-11-06T18:47:41.178138Z,12.607,
119186,<html><body><a href=https://twitter.com/anyuser/status/1533542251158175744>URL</a></body></html>,1533542251158175744,Erling Haaland,6,Positive,1,6,2022-11-06T18:47:26.681758Z,2022-11-06T18:47:26.681847Z,5.436,
129816,<html><body><a href=https://twitter.com/anyuser/status/1127965961087176704>URL</a></body></html>,1127965961087176704,Cristiano Ronaldo,5,Positive,1,5,2022-11-06T18:47:19.931614Z,2022-11-06T18:47:19.931710Z,12.959,
356379,<html><body><a href=https://twitter.com/anyuser/status/1538646678236020738>URL</a></body></html>,1538646678236020738,Cristiano Ronaldo,4,Positive,1,4,2022-11-06T18:47:05.443177Z,2022-11-06T18:47:05.443241Z,29.235,
304240,<html><body><a href=https://twitter.com/anyuser/status/1443973655441158150>URL</a></body></html>,1443973655441158150,Cristiano Ronaldo,3,Other,1,3,2022-11-06T18:46:34.480978Z,2022-11-06T18:46:34.481068Z,106.861,not sure if it's a critique or a joke.
57295,<html><body><a href=https://twitter.com/anyuser/status/996279388906848256>URL</a></body></html>,996279388906848256,Cristiano Ronaldo,2,Positive,1,2,2022-11-06T18:44:46.074076Z,2022-11-06T18:44:46.074151Z,19.901,
362053,<html><body><a href=https://twitter.com/anyuser/status/1548734855894241280>URL</a></body></html>,1548734855894241280,Cristiano Ronaldo,1,Neutral,1,1,2022-11-06T18:44:24.654607Z,2022-11-06T18:44:24.654671Z,133.8,
